id,aclength,intplan,dataplan,datagb,ommin,omcall,otmin,otcall,ngmin,ngcall,imin,icall,cuscall,churn
409-8978,77,0,0,0,80.8,70,165.9,67,18.6,6,9.5,4,1,0
444-7077,105,0,0,0,131.8,66,131.7,105,5.1,6,6.7,2,0,0
401-9132,121,0,1,1.5G,212.1,57,195.4,140,14.9,14,28.6,8,1,0
409-2971,115,0,0,0,186.1,64,230.9,125,26.5,16,9.9,4,1,0
431-5175,133,0,1,1.5G,166.5,61,176,74,36.1,11,5.3,2,1,0
375-5486,95,0,1,500M,207.8,85,185.5,98,11.1,2,0,0,1,1
400-7151,50,1,0,0,161.2,96,158.3,73,34.5,10,18.4,7,1,1
390-2169,157,0,1,2G,115.7,73,127,71,15.3,8,11.3,3,3,0
420-8569,35,0,1,500M,173.5,56,177.9,77,21.6,7,0,0,0,1
446-7327,96,0,0,0,188.1,99,193.8,99,12.4,2,5.2,2,0,0
385-2191,96,0,0,0,154,63,151.9,83,14.4,6,13.4,1,1,0
352-4349,107,0,0,0,250,67,161.9,71,2.9,6,15.7,3,2,0
438-6011,23,0,0,0,207.3,84,253.2,86,0,0,19.5,6,2,0
405-6636,108,0,0,0,112.5,79,202.9,74,23.7,8,9.6,2,0,0
364-5943,75,1,1,1G,205.3,97,194.1,79,4.9,11,19.6,8,1,1
390-1204,96,0,0,0,152.8,44,191.3,117,10.7,9,14,2,1,0
361-3534,75,0,1,2G,290.7,75,249.2,110,29.7,9,12.2,3,1,1
439-2052,92,0,0,0,150.6,56,179.9,73,29,13,9.2,2,0,0
409-2175,84,0,1,1G,132.6,41,227.2,106,4.7,11,4.3,3,2,0
405-4010,59,0,0,0,138.5,54,169.1,94,8.3,4,9.2,4,2,0
400-3776,146,0,0,0,298.9,92,228.1,127,18,6,8.1,2,0,0
377-7811,96,0,1,500M,105.5,60,186.7,80,11.3,5,1.9,2,0,0
447-9367,95,0,0,0,187.8,71,300,88,6.5,8,8.6,4,0,0
429-8674,120,1,0,0,168.4,88,109.6,83,18.2,8,13.9,6,1,0
427-8837,149,0,0,0,259.7,97,206.8,113,19.4,14,11,3,1,0
399-9206,49,0,0,0,218,82,171.2,70,4.4,3,15.9,5,1,0
393-1059,98,0,0,0,128.6,51,244.9,78,9.3,2,23.4,3,3,1
382-6383,71,0,0,0,141.8,63,188.9,112,8.7,5,0,0,2,0
357-6281,108,1,0,0,121.8,26,204.5,150,36.1,13,15,5,2,0
366-4668,102,0,1,1.5G,202.8,52,137.9,76,16.3,2,13.6,1,0,0
381-5689,124,0,0,0,245.1,96,110.8,69,18.1,1,0,0,0,0
360-1821,76,0,1,1.5G,235.2,74,223.3,95,4.2,7,0,0,1,0
388-3978,64,0,0,0,295.4,102,140,72,15.2,11,0,0,1,0
417-6067,120,0,1,500M,217.6,91,242.9,99,49.4,19,10.9,2,0,0
414-6205,139,0,0,0,126.2,51,241.5,80,19.1,5,5.8,1,0,0
372-8603,66,0,0,0,160.9,55,187,47,7.9,5,8.3,2,1,0
360-9579,33,0,0,0,276.9,94,260.9,124,3.2,8,12.4,3,1,0
394-1429,157,0,1,500M,173.8,83,167,97,18.4,5,0.1,2,2,0
374-2739,98,0,0,0,129,66,233.5,95,9.7,11,6.8,1,1,0
419-4336,83,1,1,1G,53.1,34,168.8,67,13.9,7,4.9,4,2,0
449-6422,117,0,1,1.5G,174.6,66,229.8,122,7.2,5,8,1,1,0
382-1232,102,0,0,0,185.9,54,249.5,104,27,11,0,0,0,0
427-2202,193,0,0,0,187.2,77,192.8,115,7.2,10,14.3,3,1,0
422-9762,74,0,0,0,239.5,91,191.3,105,8.3,7,7.2,2,1,0
403-9933,124,0,0,0,160.2,92,219,97,22.6,12,0,0,0,0
446-3661,132,0,0,0,260.8,96,176.4,70,17.4,14,3.7,1,2,0
359-4786,90,0,0,0,219.4,109,280.2,118,9.4,7,11.1,5,2,1
365-7602,89,0,0,0,192.8,53,205.8,62,18.5,12,13.7,3,1,0
400-8566,162,1,0,0,123.3,55,149,88,4.7,4,13.5,6,1,0
377-2389,80,0,0,0,176.1,63,160.1,95,55.2,23,4.1,2,1,0
429-4030,78,0,1,1.5G,171.4,78,132.2,65,5,8,13.7,2,2,0
392-6029,73,0,0,0,104.3,43,161.4,92,22.1,3,13.2,3,1,1
396-6194,87,0,0,0,178.3,82,191.3,77,20.9,6,6.1,1,1,0
417-3070,70,0,0,0,175.8,63,177,80,22.9,2,0,0,2,0
420-6261,107,0,1,500M,154.8,54,224.1,112,38.1,10,11.7,2,0,0
443-9884,141,0,1,1.5G,163.7,55,154.8,59,7.7,5,6.2,2,4,0
360-4559,91,0,0,0,124,56,111.2,66,35.5,13,17.2,4,2,0
392-9549,82,0,0,0,156.2,72,208.5,86,6.8,9,17.4,6,0,0
377-1691,67,0,0,0,150.1,67,177.8,106,7.6,1,9.7,2,4,0
390-6807,69,0,1,500M,258.9,75,222.2,96,9.2,9,8.9,4,2,1
426-9900,71,0,0,0,135.1,73,167.9,134,7.3,11,11.2,3,5,0
362-2245,89,0,1,1G,207.9,65,171,95,8.2,4,16.4,1,1,0
380-7116,55,0,0,0,242.6,86,179.7,88,9.7,3,14,2,0,0
445-2833,150,0,1,1.5G,144.2,67,243.7,118,28.4,12,14.5,5,1,0
364-8942,83,0,1,500M,209.8,67,173.4,115,51.1,12,6.5,2,1,0
404-6309,14,0,1,1.5G,123.7,50,161.4,112,11.9,8,9.6,2,0,0
414-6414,48,0,1,1.5G,218.2,89,192.6,91,14.1,7,13.8,6,1,0
400-3493,130,0,0,0,192.7,63,207,115,8.4,7,0,0,0,0
414-8471,68,0,0,0,114.8,34,208.6,94,19.4,9,11.2,1,1,0
368-5371,29,0,0,0,111,48,152.6,65,21.1,10,28.2,8,3,1
370-4134,39,0,0,0,75.2,68,163.7,84,28.8,13,0,0,1,0
422-4780,119,0,0,0,133.8,59,169.7,79,26.4,9,13.6,3,1,0
418-3232,60,0,0,0,200.1,71,156.1,103,21.6,13,10.5,4,2,0
421-4401,95,0,1,1.5G,204.9,84,214.3,71,25.1,12,15.9,3,0,0
352-5669,119,0,0,0,123.3,49,202.1,98,35,11,0,0,4,0
364-9247,90,1,1,2G,83.1,40,173.4,101,35.8,19,24.5,8,1,1
366-3378,147,0,0,0,122.8,62,83.2,51,14.3,9,9.6,1,0,0
431-7235,79,0,0,0,331.5,81,243.5,97,8.1,11,8.5,3,2,0
380-6362,21,0,1,1.5G,171.2,52,186.4,64,24.8,10,14,2,1,0
402-6152,90,0,1,1G,128.1,48,244.5,106,30.9,8,5.9,1,1,0
407-8585,134,0,0,0,164.9,83,198,93,44.8,22,14,3,1,0
371-2379,113,0,0,0,186.3,60,158.5,65,12.4,3,10.1,1,1,0
441-5584,215,0,0,0,160.6,52,277.8,109,18.5,11,12.5,3,0,0
415-5159,92,0,0,0,164.6,81,186.4,96,14.6,4,0,0,2,0
436-9897,65,0,0,0,237.3,101,209,129,9.1,9,9.2,1,6,0
430-6472,95,0,1,1G,133.9,88,137.4,85,18.3,5,3.1,1,0,0
411-2165,102,0,0,0,198.6,78,192.5,73,11.4,5,23.5,8,1,0
432-9076,84,0,1,250M,152.6,58,212.7,102,24.2,11,16.1,2,2,1
381-8677,159,0,1,1G,219.8,57,245.8,100,59,8,19.9,7,1,0
418-6294,113,0,0,0,191.3,73,214.3,105,0,0,17.1,4,3,0
400-2325,60,0,1,1.5G,223.4,73,208.2,105,22.3,11,0.3,2,1,0
374-7745,103,0,1,1.5G,167.8,73,221.2,82,16.8,5,4,3,0,1
395-4521,51,0,1,1.5G,159.1,39,169.3,78,21.2,5,6.1,1,1,0
398-5981,129,0,0,0,89,52,131.1,78,47.5,11,3.3,4,3,0
436-8015,107,0,0,0,165.6,60,214.9,100,4.6,8,0,0,3,0
433-2586,70,0,0,0,162.6,65,243.1,122,8.9,9,16.3,4,1,1
365-5794,155,0,1,1.5G,131.3,69,135.7,52,6.8,7,12.8,4,1,0
384-8029,138,1,0,0,67,37,137.4,83,47.2,18,19.2,6,2,1
