id,date,zipcode,lat,long,bedrooms,bathrooms,sqft_living,sqft_above,sqft_basement,sqft_lot,floors,waterfront,condition,yr_built,yr_renovated,price
7129300520,20141013T000000,98178,47.5112,-122.257,3,1,1180,1180,0,5650,1,0,3,1955,0,221900
6414100192,20141209T000000,98125,47.721,-122.319,3,2.25,2570,2170,400,7242,2,0,3,1951,1991,538000
5631500400,20150225T000000,98028,47.7379,-122.233,2,1,770,770,0,10000,1,0,3,1933,0,180000
2487200875,20141209T000000,98136,47.5208,-122.393,4,3,1960,1050,910,5000,1,0,5,1965,0,604000
1954400510,20150218T000000,98074,47.6168,-122.045,3,2,1680,1680,0,8080,1,0,3,1987,0,510000
7237550310,20140512T000000,98053,47.6561,-122.005,4,4.5,5420,3890,1530,101930,1,0,3,2001,0,1225000
1321400060,20140627T000000,98003,47.3097,-122.327,3,2.25,1715,1715,0,6819,2,0,3,1995,0,257500
2008000270,20150115T000000,98198,47.4095,-122.315,3,1.5,1060,1060,0,9711,1,0,3,1963,0,291850
2414600126,20150415T000000,98146,47.5123,-122.337,3,1,1780,1050,730,7470,1,0,3,1960,0,229500
3793500160,20150312T000000,98038,47.3684,-122.031,3,2.5,1890,1890,0,6560,2,0,3,2003,0,323000
1736800520,20150403T000000,98007,47.6007,-122.145,3,2.5,3560,1860,1700,9796,1,0,3,1965,0,662500
9212900260,20140527T000000,98115,47.69,-122.292,2,1,1160,860,300,6000,1,0,4,1942,0,468000
114101516,20140528T000000,98028,47.7558,-122.229,3,1,1430,1430,0,19901,1.5,0,4,1927,0,310000
6054650070,20141007T000000,98074,47.6127,-122.045,3,1.75,1370,1370,0,9680,1,0,4,1977,0,4e+05
1175000570,20150312T000000,98107,47.67,-122.394,5,2,1810,1810,0,4850,1.5,0,3,1900,0,530000
9297300055,20150124T000000,98126,47.5714,-122.375,4,3,2950,1980,970,5000,2,0,3,1979,0,650000
1875500060,20140731T000000,98019,47.7277,-121.962,3,2,1890,1890,0,14040,2,0,3,1994,0,395000
6865200140,20140529T000000,98103,47.6648,-122.343,4,1,1600,1600,0,4300,1.5,0,4,1916,0,485000
16000397,20141205T000000,98002,47.3089,-122.21,2,1,1200,1200,0,9850,1,0,4,1921,0,189000
7983200060,20150424T000000,98003,47.3343,-122.306,3,1,1250,1250,0,9774,1,0,4,1969,0,230000
6300500875,20140514T000000,98133,47.7025,-122.341,4,1.75,1620,860,760,4980,1,0,4,1947,0,385000
